participant_id,episode_index,episode_phase,policy_id,policy_short,n_rounds,total_dishes,mean_dishes_per_round,total_human_steps,human_steps_per_dish,ai_steps,team_reward_score,human_reward_score,ai_reward_score,mental_demand,performance_score
Thinpath_P02,11,bo,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.95,a0sp_0_helping0_True_gamma0.95,3,8.0,2.6666666666666665,231.0,28.875,125.33333333333333,384.3333333333333,256.3333333333333,128.0,12.0,9.0
Thinpath_P02,12,bo,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_False_gamma0.9,a0sp_1_helping0_False_gamma0.9,3,4.0,1.3333333333333333,212.0,53.0,79.33333333333333,166.66666666666666,116.0,50.666666666666664,10.0,7.0
Thinpath_P02,13,bo_replay_best,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.8,a0sp_0_helping0_True_gamma0.8,3,11.0,3.6666666666666665,225.0,20.454545454545453,116.33333333333333,708.6666666666666,155.0,553.6666666666666,11.0,9.0
Thinpath_P02,14,stress,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.9,a0sp_0_helping0_True_gamma0.9,3,7.0,2.3333333333333335,250.0,35.714285714285715,118.0,365.3333333333333,123.33333333333333,242.0,11.0,8.0
Thinpath_P02,15,stress,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_False_gamma0.8,a0sp_1_helping0_False_gamma0.8,3,2.0,0.6666666666666666,150.0,75.0,98.66666666666667,41.333333333333336,-26.666666666666668,68.0,14.0,7.0
Thinpath_P02,16,stress,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.95,a0sp_0_helping0_False_gamma0.95,3,3.0,1.0,212.0,70.66666666666667,60.0,156.0,36.0,120.0,12.0,8.0
Thinpath_P02,17,replay_optimal,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.8,a0sp_0_helping0_True_gamma0.8,3,9.0,3.0,272.0,30.22222222222222,133.33333333333334,426.0,442.6666666666667,-16.666666666666668,11.0,10.0
Thinpath_P03,1,seed,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.95,a0sp_1_helping0_True_gamma0.95,2,3.0,1.5,161.0,53.666666666666664,53.5,306.0,89.5,216.5,10.0,2.0
Thinpath_P03,2,seed,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.9,a0sp_1_helping0_True_gamma0.9,3,8.0,2.6666666666666665,246.0,30.75,90.33333333333333,467.6666666666667,21.333333333333332,446.3333333333333,12.0,4.0
Thinpath_P03,3,seed,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.8,a0sp_0_helping0_False_gamma0.8,3,7.0,2.3333333333333335,332.0,47.42857142857143,86.66666666666667,409.3333333333333,372.6666666666667,36.666666666666664,13.0,3.0
Thinpath_P03,4,seed,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.95,a0sp_3_helping0_False_gamma0.95,2,2.0,1.0,197.0,98.5,75.0,36.5,121.5,-85.0,12.0,1.0
Thinpath_P03,5,seed,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.9,a0sp_3_helping0_False_gamma0.9,3,16.0,5.333333333333333,352.0,22.0,131.66666666666666,1061.0,962.6666666666666,98.33333333333333,11.0,11.0
Thinpath_P03,6,bo,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_False_gamma0.9,a0sp_1_helping0_False_gamma0.9,3,9.0,3.0,380.0,42.22222222222222,96.66666666666667,500.0,613.3333333333334,-113.33333333333333,8.0,4.0
Thinpath_P03,7,bo,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.95,a0sp_0_helping0_False_gamma0.95,3,3.0,1.0,95.0,31.666666666666668,32.333333333333336,199.33333333333334,35.0,164.33333333333334,9.0,8.0
Thinpath_P03,9,bo,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.8,a0sp_3_helping0_False_gamma0.8,3,15.0,5.0,359.0,23.933333333333334,119.66666666666667,990.6666666666666,880.3333333333334,110.33333333333333,8.0,12.0
Thinpath_P03,11,bo,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.95,a0sp_0_helping0_True_gamma0.95,3,11.0,3.6666666666666665,283.0,25.727272727272727,143.66666666666666,602.0,495.6666666666667,106.33333333333333,13.0,9.0
Thinpath_P03,12,bo,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.8,a0sp_0_helping0_True_gamma0.8,3,13.0,4.333333333333333,290.0,22.307692307692307,136.0,797.3333333333334,580.0,217.33333333333334,12.0,8.0
Thinpath_P03,13,bo_replay_best,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.8,a0sp_3_helping0_False_gamma0.8,3,8.0,2.6666666666666665,190.0,23.75,83.33333333333333,523.3333333333334,490.0,33.333333333333336,11.0,8.0
Thinpath_P03,14,stress,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_True_gamma0.9,a0sp_3_helping0_True_gamma0.9,3,31.0,10.333333333333334,397.0,12.806451612903226,204.0,2157.0,-65.66666666666667,2222.6666666666665,8.0,20.0
