episode,round,human_steps,ai_steps,human_reward_score,ai_reward_score,dishes,mental_demand,performance_score
1,1,33,2,-3,-2,0,5,1
1,2,33,14,17,-64,0,5,1
1,3,32,13,18,-63,0,5,1
2,1,35,20,215,0,1,5,2
2,2,34,16,216,-16,1,5,2
2,3,40,6,-10,-6,0,5,2
3,1,38,24,12,-74,0,6,1
3,2,33,34,17,-134,0,6,1
3,3,24,30,26,-80,0,6,1
4,1,37,0,213,0,1,3,1
4,2,21,2,9,-2,0,3,1
5,1,33,33,247,-33,1,6,5
5,2,31,43,-31,-43,0,6,5
5,3,30,24,220,-24,1,6,5
6,1,33,0,217,0,1,2,2
6,2,33,0,17,0,0,2,2
6,3,0,0,0,0,0,2,2
7,1,29,41,-29,209,1,7,3
7,2,23,21,-23,29,0,7,3
7,3,32,29,-32,21,0,7,3
