episode,round,human_steps,ai_steps,human_reward_score,ai_reward_score,dishes,mental_demand,performance_score
1,1,57,101,-57,1149,5,11,16
1,2,45,145,-45,1545,7,11,16
1,3,45,107,-45,1103,5,11,16
2,1,75,101,-75,1349,6,8,9
2,2,39,127,-39,1123,5,8,9
2,3,29,149,-29,1321,6,8,9
3,1,52,128,258,72,2,17,1
3,2,41,104,89,246,2,17,1
3,3,0,24,0,-24,0,17,1
4,1,79,135,-79,1575,7,12,6
4,2,99,139,-99,1811,8,12,6
4,3,96,130,-96,1560,7,12,6
5,1,57,25,183,25,1,18,1
5,2,51,15,169,15,1,18,1
5,3,0,1,0,-1,0,18,1
6,1,68,32,-68,458,2,16,1
6,2,8,22,-8,228,1,16,1
7,1,50,44,180,236,2,18,1
7,2,0,9,0,-9,0,18,1
