episode,round,human_steps,ai_steps,human_reward_score,ai_reward_score,dishes,mental_demand,performance_score
1,1,36,14,14,-64,0,7,7
1,2,56,22,14,-72,0,7,7
1,3,47,89,-47,921,4,7,7
2,1,55,20,-15,230,1,7,4
2,2,39,77,-39,693,3,7,4
2,3,40,20,0,230,1,7,4
3,1,52,114,-52,1136,5,7,10
3,2,46,80,-46,890,4,7,10
3,3,41,79,-41,891,4,7,10
4,1,53,29,-33,241,1,8,5
4,2,53,47,-13,173,1,8,5
4,3,38,80,-38,660,3,8,5
5,1,47,63,243,-63,1,6,1
5,2,23,46,-23,-46,0,6,1
6,1,51,7,409,23,2,7,1
6,2,50,6,170,24,1,7,1
6,3,46,11,194,39,1,7,1
7,1,39,68,-39,-68,0,6,1
7,2,39,86,211,-136,1,6,1
7,3,38,85,212,-135,1,6,1
