participant_id,episode_index,episode_phase,policy_id,policy_short,metric_value,total_dishes,total_human_steps,n_rounds,emb_x,emb_y
Thinpath_P03,2,seed,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_True_gamma0.9,a0sp_1_helping0_True_gamma0.9,2.6666666666666665,8.0,246.0,3,0.52687544,49.09936
Thinpath_P03,3,seed,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.8,a0sp_0_helping0_False_gamma0.8,2.3333333333333335,7.0,332.0,3,-79.82283,29.541203
Thinpath_P03,4,seed,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.95,a0sp_3_helping0_False_gamma0.95,1.0,2.0,197.0,2,-30.803719,72.97943
Thinpath_P03,5,seed,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.9,a0sp_3_helping0_False_gamma0.9,5.333333333333333,16.0,352.0,3,78.770775,-32.54613
Thinpath_P03,6,bo,[coplay][flexible][thinpath]agent0_a0sp_1_helping0_False_gamma0.9,a0sp_1_helping0_False_gamma0.9,3.0,9.0,380.0,3,39.251617,65.513504
Thinpath_P03,7,bo,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_False_gamma0.95,a0sp_0_helping0_False_gamma0.95,1.0,3.0,95.0,3,52.37194,-64.3468
Thinpath_P03,9,bo,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.8,a0sp_3_helping0_False_gamma0.8,5.0,15.0,359.0,3,55.081795,8.812907
Thinpath_P03,11,bo,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.95,a0sp_0_helping0_True_gamma0.95,3.6666666666666665,11.0,283.0,3,23.07529,-21.088758
Thinpath_P03,12,bo,[coplay][flexible][thinpath]agent0_a0sp_0_helping0_True_gamma0.8,a0sp_0_helping0_True_gamma0.8,4.333333333333333,13.0,290.0,3,13.387434,25.06189
Thinpath_P03,13,bo_replay_best,[coplay][flexible][thinpath]agent0_a0sp_3_helping0_False_gamma0.8,a0sp_3_helping0_False_gamma0.8,2.6666666666666665,8.0,190.0,3,55.081795,8.812907
