,Steps,Steps,Repetition,Repetition,Dishes,Dishes
,mean,std,mean,std,mean,std
Round,,,,,,
1,47.25,29.44,55.52,39.97,5.0,3.65
2,42.5,30.91,57.48,26.55,10.75,5.8
3,62.0,62.63,54.62,39.49,9.5,5.8
4,72.0,50.96,81.17,22.56,11.75,6.18
5,35.75,21.47,60.65,34.78,10.75,3.86
6,39.75,23.24,60.46,41.56,10.5,7.19
7,42.75,14.55,66.91,17.21,7.75,6.08
8,51.25,27.51,89.26,3.49,9.75,5.19
9,44.25,25.67,59.36,25.78,7.75,7.41
10,42.5,40.8,72.69,48.51,11.25,4.92
