Round,Timestamp,Score,Human_Steps,AI_X,AI_Y,Human_X,Human_Y,Action_Human
1,0.199,0,0,1,3,3,1,STAY
1,0.399,0,0,1,3,3,1,STAY
1,0.601,0,1,1,3,3,1,LEFT
1,0.802,0,1,2,3,3,1,STAY
1,1.002,0,2,2,3,3,1,UP
1,1.203,0,2,2,3,2,1,STAY
1,1.403,0,3,2,3,2,1,UP
1,1.604,0,3,2,3,1,1,STAY
1,1.804,0,3,2,3,1,1,STAY
1,2.005,0,3,2,3,1,1,STAY
1,2.205,0,3,1,3,1,1,STAY
1,2.406,0,4,1,3,1,1,RIGHT
1,2.607,0,4,1,3,1,2,STAY
1,2.808,0,5,1,3,1,2,UP
1,3.008,0,5,1,3,1,2,STAY
1,3.209,0,6,1,3,1,2,LEFT
1,3.411,0,7,1,3,1,1,DOWN
1,3.611,0,7,1,3,2,1,STAY
1,3.811,0,8,1,2,2,1,DOWN
1,4.011,0,8,1,2,3,1,STAY
1,4.212,0,9,1,3,3,1,DOWN
1,4.412,0,9,1,3,3,1,STAY
1,4.613,0,9,1,3,3,1,STAY
1,4.814,0,10,1,3,3,1,RIGHT
1,5.014,0,10,1,3,3,2,STAY
1,5.214,0,11,1,3,3,2,UP
1,5.415,0,11,2,3,3,2,STAY
1,5.617,0,12,3,3,3,2,LEFT
1,5.816,0,12,3,2,3,1,STAY
1,6.016,1,12,3,2,3,1,STAY
1,6.217,1,12,3,2,3,1,STAY
1,6.418,1,12,3,2,3,1,STAY
1,6.618,1,13,3,2,3,1,LEFT
1,6.820,1,13,3,2,3,1,STAY
1,7.019,1,13,3,2,3,1,STAY
1,7.219,1,14,3,3,3,1,UP
1,7.419,1,14,2,3,2,1,STAY
1,7.620,1,14,1,3,2,1,STAY
1,7.821,1,14,1,3,2,1,STAY
1,8.021,1,15,1,3,2,1,UP
1,8.221,1,15,1,3,1,1,STAY
1,8.423,1,15,1,3,1,1,STAY
1,8.624,1,16,1,3,1,1,UP
1,8.825,1,17,1,3,1,1,DOWN
1,9.024,1,17,1,2,2,1,STAY
1,9.225,1,17,1,1,2,1,STAY
1,9.426,1,17,1,1,2,1,STAY
1,9.626,1,17,1,2,2,1,STAY
1,9.828,1,18,1,3,2,1,DOWN
1,10.028,1,18,1,3,3,1,STAY
1,10.229,1,18,1,3,3,1,STAY
1,10.429,1,18,1,3,3,1,STAY
1,10.630,1,18,1,3,3,1,STAY
1,10.831,1,18,2,3,3,1,STAY
1,11.031,1,18,3,3,3,1,STAY
1,11.232,1,18,3,2,3,1,STAY
1,11.432,2,18,3,2,3,1,STAY
1,11.632,2,19,3,2,3,1,LEFT
1,11.833,2,19,3,2,3,1,STAY
1,12.034,2,20,3,2,3,1,UP
1,12.235,2,20,3,2,2,1,STAY
1,12.435,2,21,3,3,2,1,UP
1,12.635,2,21,2,3,1,1,STAY
1,12.836,2,22,1,3,1,1,RIGHT
1,13.035,2,22,1,3,1,2,STAY
1,13.238,2,23,1,3,1,2,UP
1,13.437,2,23,1,3,1,2,STAY
1,13.638,2,23,1,3,1,2,STAY
1,13.838,2,23,1,3,1,2,STAY
1,14.038,2,23,1,3,1,2,STAY
1,14.240,2,24,1,3,1,2,LEFT
1,14.440,2,24,1,2,1,1,STAY
1,14.641,2,24,1,2,1,1,STAY
1,14.841,2,24,1,3,1,1,STAY
