Round,Timestamp,AI_X,AI_Y,Human_X,Human_Y,AI_Holding_Dish,Human_Holding_Dish,Action_Human,Score_Count
1,26.022,1,3,1,2,False,False,STAY,3
1,26.222,1,3,1,2,False,False,STAY,3
1,26.422,1,3,1,2,False,False,STAY,3
1,26.622,1,3,1,2,False,False,STAY,3
1,26.822,1,3,1,2,False,False,STAY,3
1,27.022,1,3,1,2,False,False,LEFT,3
1,27.222,1,3,1,1,False,False,STAY,3
1,27.422,1,3,1,1,False,False,STAY,3
1,27.622,1,3,1,1,False,False,STAY,3
1,27.822,1,3,1,1,False,False,STAY,3
1,28.022,1,3,1,1,False,False,STAY,3
1,28.222,1,3,1,1,False,False,STAY,3
1,28.422,1,3,1,1,False,False,STAY,3
1,28.622,1,3,1,1,False,False,STAY,3
1,28.822,1,3,1,1,False,False,STAY,3
1,29.022,1,3,1,1,False,False,STAY,3
1,29.223,1,3,1,1,False,False,STAY,3
1,29.423,1,3,1,1,False,False,STAY,3
1,29.623,1,3,1,1,False,False,STAY,3
1,29.823,1,3,1,1,False,False,STAY,3
1,30.023,1,3,1,1,False,False,STAY,3
1,30.223,1,3,1,1,False,False,STAY,3
1,30.423,1,3,1,1,False,False,STAY,3
1,30.623,1,3,1,1,False,False,STAY,3
1,30.823,1,3,1,1,False,False,STAY,3
1,31.023,1,3,1,1,False,False,STAY,3
1,31.223,1,3,1,1,False,False,STAY,3
1,31.423,1,3,1,1,False,False,STAY,3
1,31.623,1,3,1,1,False,False,STAY,3
1,31.823,1,3,1,1,False,False,STAY,3
1,32.023,1,3,1,1,False,False,STAY,3
1,32.223,1,3,1,1,False,False,DOWN,3
1,32.423,1,3,2,1,False,False,STAY,3
1,32.623,1,3,2,1,False,False,STAY,3
1,32.823,1,3,2,1,False,False,DOWN,3
1,33.023,1,3,3,1,False,False,STAY,3
1,33.223,1,3,3,1,False,False,RIGHT,3
1,33.423,1,3,3,2,False,False,RIGHT,3
1,33.623,1,3,3,3,False,False,STAY,3
1,33.823,1,3,3,3,False,False,UP,3
1,34.023,1,3,2,3,False,False,STAY,3
1,34.223,1,3,2,3,False,False,RIGHT,3
1,34.423,1,3,2,3,False,False,STAY,3
1,34.623,1,3,2,3,False,False,STAY,3
1,34.823,1,3,2,3,False,False,RIGHT,3
1,35.023,1,3,2,3,False,False,STAY,3
1,35.223,1,3,2,3,False,False,STAY,3
1,35.423,1,3,2,3,False,False,DOWN,3
1,35.623,1,3,3,3,False,False,STAY,3
1,35.823,1,3,3,3,False,False,LEFT,3
1,36.023,1,3,3,2,False,False,STAY,3
1,36.223,1,3,3,2,False,False,STAY,3
1,36.423,1,3,3,2,False,False,LEFT,3
1,36.623,1,3,3,1,False,False,STAY,3
1,36.823,1,3,3,1,False,False,STAY,3
1,37.023,1,3,3,1,False,False,STAY,3
1,37.223,1,3,3,1,False,False,STAY,3
